ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.010,-0.028,1.007,-53.000,-67.000,-121.000,0.000,-0.183,-0.488,-0.01,-0.03,0.03
0.010,-0.028,1.006,-53.000,-67.000,-121.000,0.000,-0.183,-0.122,-0.01,-0.03,0.03
0.009,-0.025,1.007,-53.000,-67.000,-121.000,-0.061,-0.183,-0.183,-0.01,-0.03,0.03
0.008,-0.024,1.007,-53.000,-67.000,-121.000,-0.061,-0.122,-0.244,-0.01,-0.03,0.03
0.009,-0.027,1.006,-53.000,-68.000,-126.000,0.061,-0.122,-0.183,-0.01,-0.03,0.03
0.009,-0.025,1.007,-53.000,-68.000,-126.000,0.000,-0.183,-0.061,-0.01,-0.03,0.03
0.007,-0.027,1.007,-53.000,-68.000,-126.000,-0.061,-0.122,-0.183,-0.01,-0.03,0.03
0.008,-0.026,1.006,-53.000,-68.000,-126.000,0.000,-0.122,0.000,-0.01,-0.02,0.03
0.008,-0.026,1.007,-53.000,-68.000,-126.000,-0.061,-0.183,0.183,-0.01,-0.03,0.03
0.008,-0.026,1.007,-54.000,-69.000,-126.000,-0.061,-0.122,-0.061,-0.01,-0.03,0.03
0.009,-0.025,1.007,-54.000,-69.000,-126.000,0.000,-0.183,-0.061,-0.01,-0.03,0.03
0.011,-0.026,1.006,-54.000,-69.000,-126.000,0.000,-0.122,0.122,-0.01,-0.03,0.03
0.010,-0.025,1.006,-54.000,-69.000,-126.000,-0.061,-0.061,0.122,-0.01,-0.02,0.03
0.008,-0.024,1.007,-54.000,-69.000,-126.000,0.061,-0.122,0.183,-0.01,-0.02,0.03
0.009,-0.026,1.007,-55.000,-70.000,-125.000,0.061,-0.122,0.183,-0.01,-0.03,0.03
0.008,-0.026,1.006,-55.000,-70.000,-125.000,0.000,-0.183,0.122,-0.01,-0.03,0.03
0.008,-0.025,1.007,-55.000,-70.000,-125.000,-0.061,-0.183,0.061,-0.01,-0.02,0.03
0.008,-0.025,1.006,-55.000,-70.000,-125.000,-0.122,-0.122,0.122,-0.01,-0.03,0.03
0.007,-0.025,1.008,-55.000,-70.000,-125.000,-0.122,-0.061,0.061,-0.01,-0.02,0.03
0.010,-0.026,1.007,-55.000,-70.000,-125.000,-0.061,-0.183,-0.244,-0.01,-0.03,0.03
0.008,-0.026,1.007,-54.000,-69.000,-125.000,0.061,-0.244,0.000,-0.01,-0.03,0.03
0.006,-0.029,1.008,-54.000,-69.000,-125.000,0.122,-0.244,0.122,-0.01,-0.03,0.03
0.006,-0.029,1.007,-54.000,-69.000,-125.000,0.000,-0.122,0.122,-0.01,-0.03,0.03
0.007,-0.027,1.006,-54.000,-69.000,-125.000,-0.122,-0.122,0.061,-0.01,-0.03,0.03
0.006,-0.025,1.006,-54.000,-69.000,-125.000,-0.122,-0.061,0.000,-0.01,-0.03,0.03
0.011,-0.022,1.007,-54.000,-71.000,-122.000,-0.061,-0.061,-0.366,-0.01,-0.02,0.03
0.011,-0.023,1.006,-54.000,-71.000,-122.000,0.000,-0.122,-0.183,-0.01,-0.02,0.03
0.009,-0.026,1.007,-54.000,-71.000,-122.000,0.000,-0.122,0.183,-0.01,-0.03,0.03
0.007,-0.025,1.007,-54.000,-71.000,-122.000,0.000,-0.122,0.183,-0.01,-0.03,0.03
0.009,-0.025,1.007,-54.000,-71.000,-122.000,0.000,-0.183,-0.366,-0.01,-0.02,0.03
0.010,-0.027,1.006,-56.000,-73.000,-125.000,0.000,-0.183,-1.221,-0.01,-0.03,0.03
0.009,-0.026,1.006,-56.000,-73.000,-125.000,0.000,-0.183,-0.366,-0.01,-0.02,0.03
0.009,-0.025,1.008,-56.000,-73.000,-125.000,0.000,-0.183,0.366,-0.01,-0.02,0.03
0.010,-0.026,1.007,-56.000,-73.000,-125.000,0.000,-0.244,0.305,-0.01,-0.02,0.03
0.008,-0.026,1.006,-56.000,-73.000,-125.000,0.000,-0.122,0.366,-0.01,-0.03,0.03
0.008,-0.026,1.007,-55.000,-69.000,-125.000,-0.061,-0.122,0.244,-0.01,-0.02,0.03
0.008,-0.027,1.007,-55.000,-69.000,-125.000,-0.061,-0.183,0.000,-0.01,-0.03,0.03
0.009,-0.026,1.007,-55.000,-69.000,-125.000,-0.061,-0.183,0.061,-0.01,-0.03,0.03
0.010,-0.025,1.006,-55.000,-69.000,-125.000,-0.061,-0.183,0.061,-0.01,-0.02,0.03
0.009,-0.023,1.007,-55.000,-69.000,-125.000,-0.061,-0.122,0.000,-0.01,-0.02,0.03
0.010,-0.026,1.006,-55.000,-69.000,-125.000,-0.122,-0.122,0.061,-0.01,-0.02,0.03
0.007,-0.026,1.007,-54.000,-69.000,-121.000,-0.061,-0.183,0.000,-0.01,-0.03,0.03
0.005,-0.025,1.008,-54.000,-69.000,-121.000,0.000,-0.122,-0.732,-0.01,-0.03,0.03
0.008,-0.024,1.007,-54.000,-69.000,-121.000,-0.122,-0.061,-2.075,-0.01,-0.02,0.03
0.008,-0.024,1.009,-54.000,-69.000,-121.000,-0.122,0.427,-2.747,-0.01,-0.03,0.03
0.009,-0.023,1.008,-54.000,-69.000,-121.000,-0.122,0.671,-3.235,-0.01,-0.02,0.03
0.009,-0.026,1.006,-54.000,-70.000,-126.000,0.000,0.061,-3.113,-0.01,-0.03,0.03
0.007,-0.028,1.007,-54.000,-70.000,-126.000,0.122,-0.183,-1.831,-0.01,-0.03,0.03
0.004,-0.017,1.012,-54.000,-70.000,-126.000,0.061,0.549,-0.488,-0.01,-0.02,0.03
0.013,-0.031,1.025,-54.000,-70.000,-126.000,-0.916,4.883,-2.625,-0.01,-0.03,0.03
0.015,-0.019,1.009,-54.000,-70.000,-126.000,-2.686,10.986,-0.122,-0.01,-0.03,0.03
0.022,-0.028,1.007,-57.000,-69.000,-130.000,0.061,14.282,0.427,-0.01,-0.03,0.03
0.027,-0.021,1.003,-57.000,-69.000,-130.000,-0.977,13.489,0.977,-0.01,-0.03,0.03
0.030,-0.022,1.004,-57.000,-69.000,-130.000,-10.437,8.606,-1.770,-0.01,-0.03,0.03
0.029,-0.010,1.008,-57.000,-69.000,-130.000,-16.174,5.371,-6.592,-0.01,-0.03,0.03
0.033,-0.016,1.011,-57.000,-69.000,-130.000,-17.517,8.362,-7.812,-0.01,-0.03,0.03
0.036,-0.011,1.007,-61.000,-66.000,-127.000,-18.799,6.836,-5.798,-0.01,-0.03,0.03
0.031,0.012,1.044,-61.000,-66.000,-127.000,-24.109,3.723,-5.371,-0.01,-0.03,0.02
0.035,0.017,1.116,-61.000,-66.000,-127.000,-21.118,6.042,-5.798,-0.01,-0.04,0.02
-0.002,0.036,1.035,-61.000,-66.000,-127.000,-11.169,18.982,-5.493,-0.00,-0.04,0.02
0.008,0.028,1.047,-61.000,-66.000,-127.000,-6.409,20.264,-9.460,-0.00,-0.04,0.02
0.043,-0.040,1.146,-86.000,-46.000,-136.000,-7.019,17.578,-13.000,-0.00,-0.04,0.02
0.045,-0.012,1.204,-86.000,-46.000,-136.000,-9.521,28.748,-11.353,0.00,-0.04,0.02
0.053,0.050,1.110,-86.000,-46.000,-136.000,-13.428,44.861,-12.207,0.01,-0.04,0.01
0.074,0.039,0.995,-86.000,-46.000,-136.000,-21.851,47.119,-13.733,0.02,-0.04,0.01
0.115,-0.008,0.957,-86.000,-46.000,-136.000,-23.682,42.664,-9.705,0.02,-0.04,0.01
0.142,0.020,0.966,-86.000,-46.000,-136.000,-14.160,41.016,-3.113,0.03,-0.05,0.01
0.130,0.140,0.988,-126.000,-3.000,-116.000,-10.193,40.649,-2.197,0.03,-0.05,0.01
0.130,0.174,1.075,-126.000,-3.000,-116.000,-5.615,40.466,-8.606,0.04,-0.05,0.01
0.125,0.177,1.179,-126.000,-3.000,-116.000,-16.296,48.096,-18.799,0.04,-0.05,0.00
0.184,0.059,1.087,-126.000,-3.000,-116.000,-36.621,59.509,-29.236,0.05,-0.05,-0.00
0.220,0.018,0.965,-126.000,-3.000,-116.000,-51.392,62.927,-27.649,0.06,-0.06,-0.01
0.231,0.027,0.899,-132.000,40.000,-42.000,-48.950,59.082,-21.301,0.07,-0.07,-0.01
0.247,0.106,0.902,-132.000,40.000,-42.000,-31.677,50.232,-19.409,0.07,-0.07,-0.02
0.249,0.106,0.963,-132.000,40.000,-42.000,-25.085,48.523,-25.391,0.08,-0.08,-0.02
0.263,0.092,1.008,-132.000,40.000,-42.000,-31.128,47.913,-25.330,0.09,-0.08,-0.03
0.291,0.070,1.002,-132.000,40.000,-42.000,-37.476,47.607,-23.376,0.09,-0.09,-0.03
0.283,0.187,1.040,-91.000,37.000,33.000,-42.114,46.082,-16.968,0.10,-0.09,-0.03
0.307,0.160,1.064,-91.000,37.000,33.000,-49.377,55.237,-34.485,0.11,-0.10,-0.04
0.326,0.182,0.997,-91.000,37.000,33.000,-51.453,66.101,-32.532,0.11,-0.11,-0.05
0.359,0.151,0.942,-91.000,37.000,33.000,-57.739,68.237,-30.884,0.12,-0.12,-0.05
0.338,0.187,0.914,-91.000,37.000,33.000,-55.359,62.805,-28.137,0.13,-0.13,-0.06
0.369,0.237,0.946,-91.000,37.000,33.000,-40.222,63.965,-31.250,0.14,-0.14,-0.07
0.407,0.233,0.852,-35.000,4.000,64.000,-48.340,66.101,-42.908,0.15,-0.14,-0.07
0.411,0.231,0.831,-35.000,4.000,64.000,-48.340,62.622,-46.204,0.16,-0.15,-0.08
0.434,0.259,0.895,-35.000,4.000,64.000,-37.842,57.373,-49.988,0.16,-0.16,-0.09
0.442,0.256,0.979,-35.000,4.000,64.000,-38.940,62.683,-58.899,0.17,-0.17,-0.10
