delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.100,0.977,-0.066,-0.053,-13.000,-42.000,-8.000,1.071,-0.144,1.593,-0.78,-3.05,1.29
0.100,0.966,-0.047,-0.098,-7.000,-46.000,-14.000,1.113,-0.215,1.803,-0.75,2.95,1.03
0.101,0.917,0.254,-0.098,2.000,-44.000,-16.000,1.297,-0.016,1.826,-0.70,2.66,0.80
0.100,0.847,0.496,0.067,10.000,-46.000,-18.000,0.800,0.298,1.384,-0.65,2.47,0.63
0.101,0.777,0.701,0.147,16.000,-43.000,-15.000,0.929,0.479,1.256,-0.61,2.29,0.47
0.100,0.728,0.844,0.103,21.000,-41.000,-18.000,0.685,0.911,0.020,-0.67,2.16,0.38
0.091,0.708,0.680,-0.176,17.000,-43.000,-22.000,-0.248,0.642,-1.600,-0.83,2.23,0.44
0.101,0.828,0.177,-0.070,7.000,-43.000,-19.000,-0.976,0.604,-2.459,-1.06,2.52,0.67
0.101,0.869,0.022,-0.257,3.000,-41.000,-24.000,-0.866,0.029,-2.040,-1.14,2.98,1.08
0.100,0.899,0.004,-0.130,-7.000,-42.000,-23.000,-1.076,-0.480,-2.062,-1.07,-2.79,1.54
0.101,0.859,0.346,-0.196,-12.000,-41.000,-19.000,-0.541,-0.491,-1.893,-0.94,-2.49,1.83
0.100,0.829,0.078,-0.173,-20.000,-39.000,-12.000,-0.746,-0.614,-1.548,-0.79,-2.32,1.95
0.101,0.790,-0.437,-0.092,-26.000,-34.000,-6.000,-0.779,-0.483,-1.579,-0.65,-2.18,2.04
0.101,0.730,-0.972,0.071,-31.000,-28.000,-8.000,-0.419,-0.152,-1.584,-0.51,-2.09,2.13
0.101,0.673,-0.862,0.181,-33.000,-25.000,-6.000,-0.467,-0.135,-0.858,-0.44,-2.03,2.16
0.100,0.593,-0.918,0.161,-34.000,-21.000,-2.000,-0.263,-0.191,-0.702,-0.37,-2.00,2.18
0.101,0.582,-0.875,0.247,-35.000,-21.000,-2.000,-0.033,-0.260,-0.598,-0.32,-1.99,2.18
0.101,0.533,-0.847,0.234,-37.000,-16.000,-1.000,-0.209,-0.134,-0.574,-0.26,-1.96,2.20
0.101,0.445,-0.761,0.252,-35.000,-14.000,-2.000,-0.697,-0.018,-1.169,-0.16,-1.88,2.24
0.100,0.289,-0.729,0.368,-36.000,-7.000,4.000,-0.803,-0.299,-1.748,0.01,-1.80,2.26
0.101,0.143,-0.750,0.438,-35.000,-2.000,4.000,-0.471,-0.323,-1.030,0.12,-1.75,2.25
0.101,0.045,-0.803,0.371,-31.000,3.000,5.000,-0.464,-0.346,-0.811,0.21,-1.70,2.23
0.101,-0.061,-1.245,0.489,-28.000,9.000,0.000,-0.620,-0.522,-1.439,0.36,-1.62,2.19
0.101,-0.143,-1.042,0.565,-27.000,13.000,8.000,-0.381,-0.153,-1.312,0.50,-1.57,2.18
0.091,-0.186,-0.799,0.754,-23.000,12.000,2.000,0.115,0.252,-0.067,0.51,-1.59,2.21
0.100,-0.167,-0.939,0.584,-24.000,10.000,5.000,0.006,0.312,0.578,0.46,-1.60,2.24
0.100,-0.054,-0.989,0.559,-28.000,9.000,9.000,0.017,0.439,1.376,0.33,-1.61,2.28
0.101,0.110,-1.017,0.614,-32.000,4.000,6.000,-0.046,0.321,0.843,0.24,-1.61,2.31
0.100,0.195,-0.949,0.666,-32.000,-4.000,8.000,0.138,0.933,1.888,0.05,-1.64,2.40
0.111,0.365,-1.029,0.205,-36.000,-16.000,11.000,0.244,1.762,2.371,-0.24,-1.64,2.58
0.090,0.670,-0.268,0.336,-31.000,-30.000,3.000,1.078,1.031,2.973,-0.52,-1.71,2.65
0.100,0.839,-0.387,0.173,-27.000,-34.000,1.000,0.564,0.608,1.968,-0.74,-1.74,2.69
0.100,0.908,-0.205,0.104,-23.000,-41.000,-6.000,0.307,0.534,1.514,-0.91,-1.73,2.74
0.111,0.991,-0.071,0.082,-21.000,-41.000,-1.000,0.115,0.031,0.425,-0.97,-1.74,2.74
0.091,1.014,-0.274,0.158,-19.000,-43.000,-2.000,0.142,0.056,-0.036,-0.98,-1.73,2.76
0.100,0.998,-0.313,0.151,-17.000,-43.000,-1.000,0.068,0.308,0.439,-1.03,-1.69,2.81
0.101,0.975,-0.099,0.090,-14.000,-43.000,-6.000,0.124,0.358,0.951,-1.14,-1.64,2.88
0.101,0.944,0.278,-0.064,-11.000,-46.000,-7.000,0.160,0.233,0.668,-1.20,-1.60,2.94
0.100,1.026,0.054,0.107,-12.000,-45.000,-4.000,0.663,-0.208,-0.022,-1.19,-1.70,2.90
0.091,0.973,0.164,-0.020,-11.000,-43.000,-6.000,-0.230,-0.080,-0.133,-1.17,-1.69,2.89
0.111,0.940,0.104,0.059,-13.000,-46.000,-2.000,-0.450,-0.513,-1.172,-1.03,-1.70,2.82
0.090,0.930,-0.134,0.121,-20.000,-41.000,0.000,-1.075,-0.833,-1.521,-0.89,-1.68,2.72
0.101,0.883,-0.335,0.249,-27.000,-37.000,9.000,-1.149,-0.934,-1.805,-0.71,-1.63,2.62
0.101,0.794,-0.186,0.513,-27.000,-32.000,8.000,-0.501,-1.059,-1.323,-0.58,-1.65,2.50
0.111,0.691,-0.505,0.490,-27.000,-27.000,19.000,-1.042,-1.091,-1.829,-0.38,-1.58,2.38
0.090,0.630,-0.827,0.874,-30.000,-19.000,20.000,-0.249,-0.648,-1.097,-0.29,-1.57,2.32
0.101,0.480,-0.772,0.491,-32.000,-24.000,11.000,1.115,1.543,2.037,-0.51,-1.62,2.48
0.101,0.679,-0.212,0.359,-29.000,-32.000,13.000,0.996,1.010,2.516,-0.78,-1.64,2.60
0.100,0.852,-0.134,0.207,-24.000,-37.000,3.000,0.854,0.451,1.686,-0.97,-1.68,2.65
0.100,0.929,-0.218,0.071,-22.000,-40.000,6.000,0.291,0.107,1.033,-1.09,-1.71,2.65
0.111,0.971,-0.121,0.298,-21.000,-43.000,0.000,0.590,-0.489,0.842,-1.17,-1.91,2.49
0.091,0.997,-0.172,0.335,-16.000,-41.000,3.000,0.336,-0.009,0.681,-1.23,-1.98,2.44
0.100,0.964,0.050,0.315,-13.000,-47.000,0.000,0.445,0.181,0.539,-1.29,-2.01,2.45
0.100,0.973,0.104,0.275,-16.000,-48.000,-4.000,0.174,0.056,0.086,-1.30,-1.99,2.49
0.100,0.975,0.057,0.214,-13.000,-44.000,-2.000,-0.175,0.102,-0.281,-1.27,-1.88,2.59
0.101,0.969,0.071,0.248,-13.000,-45.000,0.000,-0.121,-0.054,-0.249,-1.24,-1.83,2.62
0.090,0.966,0.041,0.229,-12.000,-46.000,2.000,-0.023,-0.113,-0.191,-1.22,-1.82,2.62
0.101,0.967,0.036,0.243,-14.000,-43.000,0.000,0.014,-0.112,-0.223,-1.20,-1.81,2.63
0.101,0.975,-0.035,0.274,-16.000,-43.000,-1.000,0.166,-0.145,-0.381,-1.16,-1.82,2.64
0.101,0.942,-0.107,0.209,-20.000,-44.000,6.000,-0.254,-0.199,-0.620,-1.09,-1.78,2.64
0.111,0.925,-0.269,0.296,-22.000,-42.000,4.000,-0.140,-0.414,-1.070,-0.97,-1.78,2.62
0.101,0.877,-0.329,0.331,-23.000,-40.000,2.000,-0.062,-0.426,-1.100,-0.86,-1.79,2.60
0.090,0.823,-0.432,0.367,-25.000,-37.000,7.000,-0.125,-0.443,-1.065,-0.77,-1.79,2.58
0.101,0.776,-0.647,0.510,-29.000,-34.000,11.000,-0.065,-0.451,-0.949,-0.68,-1.80,2.55
0.101,0.744,-0.584,0.491,-29.000,-33.000,16.000,-0.077,-0.063,-0.200,-0.67,-1.79,2.55
0.101,0.757,-0.459,0.452,-30.000,-33.000,13.000,-0.045,-0.086,-0.224,-0.65,-1.78,2.55
0.101,0.720,-0.515,0.418,-32.000,-32.000,14.000,-0.177,-0.247,-0.878,-0.57,-1.76,2.54
0.101,0.677,-0.509,0.461,-30.000,-28.000,13.000,-0.138,-0.175,-0.603,-0.52,-1.75,2.54
0.101,0.652,-0.621,0.496,-32.000,-25.000,18.000,-0.308,0.166,-0.668,-0.47,-1.70,2.57
0.100,0.634,-0.691,0.458,-31.000,-25.000,14.000,-0.152,0.600,0.082,-0.49,-1.65,2.64
0.101,0.689,-0.679,0.381,-31.000,-25.000,10.000,0.063,1.370,0.435,-0.55,-1.57,2.80
0.101,0.764,-0.469,0.271,-30.000,-30.000,6.000,0.026,1.304,0.794,-0.64,-1.47,2.97
0.091,0.837,-0.603,0.229,-29.000,-32.000,-1.000,0.693,1.416,1.206,-0.74,-1.41,-3.13
0.101,0.896,-0.337,0.015,-24.000,-37.000,-5.000,1.784,0.874,1.457,-0.90,-1.48,-2.97
0.101,0.954,-0.099,0.068,-18.000,-40.000,-16.000,1.778,0.256,1.704,-1.08,-1.60,-2.91
0.100,0.969,-0.089,-0.064,-16.000,-40.000,-11.000,1.000,0.374,0.836,-1.17,-1.64,-2.82
0.101,0.935,0.142,-0.142,-10.000,-42.000,-12.000,0.801,0.371,0.418,-1.21,-1.64,-2.73
0.101,0.987,-0.088,-0.181,-12.000,-43.000,-19.000,0.197,-0.074,-0.161,-1.19,-1.70,-2.75
0.101,0.980,-0.111,-0.187,-12.000,-42.000,-14.000,-0.402,0.000,-0.246,-1.17,-1.67,-2.75
0.100,0.992,-0.058,-0.175,-13.000,-43.000,-19.000,-0.542,0.048,-0.361,-1.13,-1.61,-2.74
0.101,0.988,-0.123,-0.151,-17.000,-40.000,-19.000,-0.320,0.074,-0.513,-1.08,-1.57,-2.72
0.101,0.931,-0.126,-0.227,-18.000,-38.000,-15.000,-0.254,0.019,-0.577,-1.03,-1.57,-2.73
0.101,0.869,-0.349,-0.328,-19.000,-36.000,-12.000,0.120,-0.227,-0.860,-0.96,-1.64,-2.78
0.100,0.841,-0.323,-0.075,-23.000,-37.000,-8.000,-1.230,-0.818,-0.903,-0.88,-1.62,-2.90
0.101,0.824,-0.512,0.021,-26.000,-32.000,-5.000,-0.371,-0.464,-0.481,-0.84,-1.63,-2.97
0.101,0.866,-0.485,0.175,-27.000,-34.000,-7.000,-0.119,-0.307,-0.183,-0.84,-1.64,-3.01
0.100,0.812,-0.441,0.138,-28.000,-36.000,-2.000,-0.504,-0.523,-0.508,-0.80,-1.64,-3.08
0.101,0.794,-0.470,0.299,-30.000,-29.000,0.000,-0.391,-0.660,-0.383,-0.77,-1.66,3.12
0.091,0.693,-0.623,0.325,-33.000,-27.000,6.000,-0.646,-1.041,-1.023,-0.68,-1.67,3.01
