delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.101,0.760,0.369,-0.621,-7.000,-42.000,-22.000,0.403,-1.394,-0.324,1.13,1.31,-1.54
0.101,0.842,0.161,-0.224,-9.000,-43.000,-8.000,-0.387,-2.395,-0.412,0.99,0.99,-1.13
0.101,0.855,0.251,-0.051,-13.000,-42.000,1.000,-0.431,-1.767,-0.669,0.82,0.91,-0.96
0.100,0.867,0.169,0.095,-16.000,-42.000,3.000,-0.065,-1.508,-0.912,0.65,0.86,-0.88
0.100,0.864,-0.114,0.375,-19.000,-40.000,8.000,-0.203,-1.535,-0.876,0.47,0.85,-0.81
0.101,0.781,-0.167,0.457,-23.000,-36.000,18.000,0.101,-1.886,-1.106,0.24,0.81,-0.74
0.101,0.670,-0.337,0.614,-23.000,-32.000,20.000,-0.528,-2.035,-1.320,-0.01,0.86,-0.68
0.101,0.598,-0.352,0.457,-25.000,-25.000,26.000,-0.208,-1.289,-0.980,-0.19,0.88,-0.65
0.091,0.396,-0.425,0.954,-23.000,-21.000,28.000,-0.648,-2.272,-0.871,-0.37,0.96,-0.54
0.101,0.367,-0.390,0.832,-24.000,-11.000,29.000,-0.415,-0.852,-0.821,-0.48,1.00,-0.53
0.101,0.256,-0.305,0.685,-19.000,-4.000,31.000,-0.079,-0.834,-0.198,-0.54,1.03,-0.47
0.101,0.166,-0.275,0.932,-20.000,-5.000,34.000,0.026,-0.931,-0.394,-0.61,1.05,-0.42
0.101,0.095,-0.264,0.744,-18.000,-2.000,35.000,0.425,-0.729,-0.167,-0.66,1.04,-0.36
0.101,0.033,-0.198,0.805,-15.000,1.000,27.000,0.480,-0.702,-0.023,-0.69,1.02,-0.30
0.111,-0.043,-0.342,0.927,-14.000,4.000,21.000,0.211,-1.084,-0.643,-0.81,1.05,-0.23
0.091,-0.182,-0.703,0.815,-15.000,9.000,17.000,0.194,-0.291,-0.844,-0.88,1.00,-0.26
0.100,-0.323,-0.714,0.664,-23.000,9.000,10.000,0.210,-0.266,-0.362,-0.91,0.98,-0.27
0.101,-0.340,-0.562,0.912,-27.000,14.000,6.000,0.301,-0.866,-0.415,-0.98,1.01,-0.19
0.100,-0.399,-0.430,0.715,-31.000,15.000,1.000,0.180,-0.445,-0.227,-1.01,1.03,-0.15
0.100,-0.452,-0.485,0.729,-35.000,17.000,0.000,0.166,-1.289,-0.260,-1.09,1.18,0.05
0.100,-0.508,-0.469,0.638,-33.000,19.000,9.000,-0.163,-1.074,-0.144,-1.12,1.39,0.26
0.102,-0.677,-0.591,0.781,-32.000,22.000,5.000,-0.528,-0.985,-0.913,-1.21,1.65,0.49
0.100,-0.738,-0.164,0.384,-32.000,25.000,4.000,-0.261,-1.193,0.096,-1.17,1.96,0.79
0.100,-0.794,-0.474,0.301,-26.000,29.000,1.000,-0.478,-0.501,0.047,-1.14,2.09,0.89
0.101,-0.848,-0.509,0.461,-28.000,25.000,1.000,-0.570,-0.242,-0.447,-1.16,2.24,0.99
0.091,-0.854,-0.154,0.616,-29.000,25.000,2.000,-0.187,-0.832,1.612,-0.99,2.19,0.92
0.101,-0.831,-0.426,0.400,-33.000,19.000,2.000,-0.249,0.847,2.165,-0.84,1.97,0.62
0.100,-0.621,-0.375,0.559,-36.000,12.000,5.000,-0.312,0.524,1.349,-0.73,1.90,0.47
0.101,-0.565,-0.602,0.882,-39.000,8.000,3.000,0.565,0.162,1.065,-0.63,1.80,0.41
0.100,-0.491,-0.561,0.581,-39.000,4.000,7.000,0.959,1.017,-0.529,-0.69,1.62,0.28
0.112,-0.614,-0.618,0.445,-38.000,13.000,5.000,-1.218,0.425,-2.021,-0.91,1.72,0.24
0.091,-0.691,-0.650,0.665,-32.000,20.000,12.000,-1.851,0.769,-2.099,-1.11,1.83,0.17
0.100,-0.644,-0.512,0.817,-28.000,20.000,17.000,-0.247,0.753,-0.300,-1.15,1.69,-0.00
0.101,-0.571,-0.205,0.532,-29.000,19.000,22.000,-0.883,1.988,-0.136,-1.14,1.32,-0.51
0.101,-0.526,-0.462,0.965,-29.000,17.000,25.000,-0.457,0.847,-0.516,-1.16,1.13,-0.76
0.101,-0.358,-0.119,1.349,-29.000,13.000,25.000,0.093,0.629,0.398,-1.09,1.02,-0.87
0.100,-0.311,-0.346,0.983,-33.000,9.000,20.000,0.230,1.241,0.136,-0.99,0.83,-1.07
0.100,-0.133,-0.347,1.111,-29.000,4.000,21.000,0.240,1.116,-0.087,-0.90,0.67,-1.23
0.101,0.027,-0.330,0.549,-22.000,2.000,23.000,-0.186,1.284,0.020,-0.78,0.60,-1.36
0.101,0.138,-0.217,0.835,-14.000,-2.000,25.000,-0.181,1.825,0.359,-0.60,0.55,-1.46
0.101,0.242,-0.238,1.014,-15.000,-6.000,27.000,0.336,2.064,-0.125,-0.41,0.45,-1.60
0.100,0.436,-0.332,0.982,-20.000,-13.000,28.000,0.502,1.478,0.030,-0.26,0.39,-1.68
0.091,0.562,-0.480,0.731,-23.000,-15.000,31.000,0.138,1.074,-0.167,-0.18,0.38,-1.73
0.102,0.625,-0.373,0.388,-24.000,-21.000,25.000,0.464,1.848,0.043,-0.01,0.34,-1.80
0.100,0.676,-0.391,0.221,-26.000,-25.000,22.000,0.608,1.338,0.104,0.11,0.30,-1.84
0.100,0.737,-0.512,0.326,-27.000,-27.000,16.000,0.548,1.558,0.370,0.25,0.26,-1.85
0.111,0.820,-0.416,-0.005,-29.000,-31.000,13.000,0.735,1.757,0.356,0.44,0.20,-1.87
0.091,0.820,-0.453,0.196,-25.000,-33.000,7.000,0.607,0.907,0.256,0.51,0.15,-1.87
0.100,0.874,-0.447,0.027,-26.000,-35.000,4.000,0.656,1.487,0.702,0.66,0.06,-1.81
0.101,0.871,-0.360,0.024,-22.000,-38.000,-9.000,0.728,1.607,0.979,0.81,-0.09,-1.69
0.100,0.866,-0.072,-0.340,-19.000,-38.000,-13.000,0.774,1.661,0.862,0.95,-0.31,-1.51
0.101,0.683,0.055,-0.610,-13.000,-36.000,-26.000,0.723,1.723,0.698,1.08,-0.63,-1.24
0.100,0.532,0.247,-0.652,-9.000,-30.000,-33.000,0.536,1.834,0.957,1.12,-1.11,-0.77
0.101,0.254,0.265,-0.804,-4.000,-24.000,-39.000,0.404,2.698,1.184,1.03,-1.72,-0.14
0.101,-0.159,0.504,-1.455,-2.000,-9.000,-44.000,0.553,3.463,1.794,0.73,-2.13,0.28
0.101,-0.042,0.565,-1.179,-1.000,-6.000,-43.000,-0.169,0.450,0.766,0.64,-2.13,0.28
0.101,-0.184,0.072,-0.988,-6.000,-5.000,-39.000,-0.377,0.618,0.656,0.55,-2.13,0.31
0.101,-0.323,0.108,-1.063,-4.000,-1.000,-40.000,-0.072,1.528,0.443,0.43,-2.19,0.43
0.101,-0.393,0.115,-1.262,-8.000,4.000,-39.000,-0.261,0.803,0.102,0.37,-2.21,0.50
0.091,-0.422,-0.059,-0.969,-9.000,6.000,-38.000,-0.158,1.012,-0.303,0.34,-2.25,0.60
0.111,-0.431,-0.043,-1.019,-13.000,10.000,-33.000,-0.774,0.249,-0.695,0.40,-2.21,0.68
0.101,-0.444,0.017,-1.121,-13.000,11.000,-41.000,-1.184,0.030,-0.763,0.46,-2.13,0.73
0.091,-0.529,-0.028,-1.086,-15.000,11.000,-34.000,-0.298,-0.028,-0.458,0.50,-2.13,0.76
0.100,-0.513,-0.254,-1.151,-17.000,8.000,-34.000,-0.578,-1.110,-0.521,0.61,-2.05,0.69
0.101,-0.398,-0.200,-1.042,-18.000,4.000,-35.000,-0.688,-1.679,0.418,0.64,-1.88,0.49
0.101,-0.255,0.047,-1.184,-22.000,-4.000,-41.000,-0.161,-1.748,0.455,0.65,-1.75,0.27
0.101,-0.072,0.074,-0.780,-21.000,-10.000,-31.000,0.081,-1.799,0.927,0.58,-1.65,0.04
0.100,0.040,-0.024,-0.869,-12.000,-17.000,-37.000,2.036,-0.704,0.772,0.51,-1.83,-0.05
0.112,0.204,0.487,-0.612,-8.000,-22.000,-41.000,0.702,-2.411,0.505,0.50,-1.77,-0.37
0.091,0.344,0.285,-0.633,-1.000,-29.000,-31.000,0.314,-2.993,-1.179,0.63,-1.64,-0.67
0.101,0.568,0.286,-0.396,-6.000,-36.000,-29.000,0.566,-2.384,-1.359,0.75,-1.51,-0.97
0.101,0.755,0.263,-0.539,-5.000,-40.000,-23.000,1.373,-0.849,-1.104,0.85,-1.57,-1.10
0.101,0.816,0.255,-0.458,-9.000,-41.000,-26.000,0.640,-0.614,-1.131,0.95,-1.57,-1.19
0.101,0.807,-0.121,-0.022,-16.000,-38.000,-16.000,-0.553,-1.904,-2.503,1.14,-1.08,-1.69
0.101,0.813,-0.513,0.218,-24.000,-38.000,-7.000,-0.436,-1.863,-1.835,1.13,-0.44,-2.35
0.101,0.812,-0.572,0.391,-28.000,-33.000,0.000,-0.520,-1.584,-1.067,1.00,-0.10,-2.67
0.091,0.722,-0.337,0.519,-29.000,-33.000,3.000,-0.895,-2.265,-0.739,0.79,0.08,-2.80
0.100,0.537,-0.488,0.562,-29.000,-24.000,16.000,-1.226,-2.736,-1.184,0.48,0.26,-2.89
0.101,0.441,-0.522,0.694,-27.000,-19.000,25.000,-0.144,-1.143,0.035,0.36,0.27,-2.86
0.102,0.348,-0.364,0.747,-27.000,-16.000,26.000,0.001,-2.098,-0.459,0.12,0.28,-2.85
0.100,0.217,-0.253,0.654,-21.000,-7.000,29.000,-0.368,-0.954,-0.202,0.01,0.32,-2.84
0.101,0.078,-0.273,0.919,-17.000,1.000,26.000,-0.080,-0.750,-0.611,-0.10,0.32,-2.87
0.101,0.019,-0.559,1.007,-19.000,1.000,15.000,0.097,-0.162,-0.417,-0.12,0.31,-2.91
0.101,-0.011,-0.475,0.939,-21.000,0.000,10.000,0.224,0.143,0.088,-0.10,0.30,-2.91
0.100,-0.001,-0.509,1.273,-24.000,1.000,13.000,0.159,-0.129,-0.474,-0.12,0.28,-2.95
0.101,-0.021,-0.504,0.915,-22.000,-1.000,19.000,0.436,1.095,0.783,0.01,0.25,-2.90
0.100,0.045,-0.528,1.079,-25.000,-7.000,25.000,0.264,0.631,1.637,0.11,0.23,-2.76
0.101,0.206,-0.457,0.918,-26.000,-12.000,24.000,-0.830,1.997,0.284,0.30,0.33,-2.79
0.100,0.380,-0.717,0.788,-27.000,-14.000,25.000,-0.989,1.308,-0.364,0.39,0.48,-2.89
0.100,0.497,-0.179,0.795,-24.000,-19.000,24.000,-0.670,1.185,-0.241,0.46,0.58,-2.98
0.100,0.574,-0.270,1.078,-27.000,-23.000,22.000,0.904,0.515,1.335,0.55,0.43,-2.87
0.102,0.608,-0.122,0.570,-26.000,-33.000,18.000,0.869,3.732,1.462,0.94,0.35,-2.89
0.100,0.870,-0.156,0.333,-23.000,-37.000,3.000,0.218,2.395,0.278,1.16,0.46,-3.04
0.090,0.816,-0.273,0.199,-22.000,-37.000,-3.000,-0.044,2.634,0.470,1.37,0.83,2.87
0.101,0.839,-0.167,-0.511,-22.000,-34.000,-15.000,0.451,1.963,0.375,1.44,2.08,1.56
0.100,0.843,-0.220,-0.408,-23.000,-35.000,-17.000,-0.018,1.166,0.706,1.38,2.86,0.76
0.101,0.774,0.016,-0.881,-18.000,-33.000,-24.000,0.299,1.540,0.749,1.22,-3.12,0.41
0.100,0.744,0.031,-0.681,-13.000,-33.000,-26.000,0.374,1.132,1.383,1.07,-2.90,0.12
0.100,0.617,0.212,-0.436,-8.000,-32.000,-32.000,0.408,1.875,1.817,0.83,-2.78,-0.08
0.101,0.417,0.250,-0.628,-2.000,-26.000,-38.000,0.311,1.631,1.068,0.62,-2.78,-0.14
0.101,0.206,0.492,-0.936,0.000,-20.000,-37.000,0.414,2.170,0.951,0.36,-2.81,-0.17
0.101,0.065,0.482,-0.939,1.000,-14.000,-42.000,-0.356,1.275,0.392,0.22,-2.78,-0.17
0.101,-0.047,0.300,-1.202,-1.000,-8.000,-42.000,-0.623,1.302,0.031,0.10,-2.74,-0.12
0.101,-0.078,-0.058,-1.205,-6.000,-5.000,-38.000,-1.390,0.386,-0.796,0.10,-2.62,-0.04
0.101,0.014,-0.139,-0.872,-17.000,-11.000,-37.000,-2.076,-0.960,-0.479,0.21,-2.43,-0.06
0.100,0.057,0.000,-0.767,-18.000,-12.000,-33.000,-0.884,0.296,-0.310,0.21,-2.37,-0.02
0.101,-0.092,-0.223,-0.743,-21.000,-9.000,-35.000,-0.326,0.953,-0.852,0.21,-2.38,0.11
0.101,-0.297,-0.269,-1.216,-24.000,2.000,-34.000,-0.016,1.643,-1.517,0.20,-2.44,0.34
0.101,-0.411,-0.237,-0.968,-21.000,6.000,-31.000,-0.540,0.403,-1.286,0.26,-2.44,0.47
0.100,-0.429,-0.436,-1.207,-22.000,11.000,-32.000,-1.221,-0.621,-0.550,0.35,-2.33,0.48
0.091,-0.360,-0.331,-1.183,-24.000,8.000,-31.000,-0.409,-1.316,0.537,0.40,-2.26,0.35
0.101,-0.227,-0.170,-1.164,-24.000,-2.000,-27.000,-0.177,-1.616,1.236,0.41,-2.18,0.13
0.101,-0.083,-0.062,-1.106,-23.000,-11.000,-31.000,0.619,-2.741,1.434,0.44,-2.12,-0.20
0.101,0.179,-0.309,-0.860,-23.000,-21.000,-29.000,0.663,-2.673,0.751,0.51,-2.07,-0.51
0.111,0.493,-0.067,-0.681,-17.000,-29.000,-29.000,0.869,-2.384,0.665,0.55,-2.02,-0.82
0.091,0.703,-0.022,-0.561,-16.000,-33.000,-22.000,0.855,-1.550,-0.453,0.64,-2.04,-0.95
0.111,0.717,-0.065,-0.722,-16.000,-38.000,-17.000,-0.652,-1.782,-0.934,0.79,-1.85,-1.14
0.090,0.843,0.111,-0.422,-20.000,-39.000,-10.000,-0.786,-1.599,-0.227,0.83,-1.64,-1.34
0.101,0.817,-0.298,0.069,-20.000,-39.000,3.000,-1.133,-2.482,-0.521,0.84,-1.24,-1.73
0.101,0.816,-0.296,0.303,-20.000,-36.000,13.000,-1.026,-2.534,-0.218,0.73,-0.90,-2.07
0.100,0.753,0.380,0.700,-13.000,-31.000,26.000,-1.543,-2.772,0.450,0.49,-0.63,-2.26
0.111,0.540,0.405,1.100,-10.000,-23.000,35.000,-1.056,-2.863,0.603,0.17,-0.46,-2.38
0.091,0.429,0.292,1.047,-5.000,-14.000,40.000,-0.852,-1.435,0.724,0.01,-0.38,-2.38
0.101,0.393,0.304,1.044,-2.000,-8.000,42.000,-0.150,-1.560,0.364,-0.16,-0.35,-2.40
0.101,0.233,0.392,1.089,-1.000,-3.000,39.000,-0.121,-1.470,-0.311,-0.29,-0.34,-2.49
0.100,0.097,0.161,1.015,-1.000,1.000,44.000,-0.282,-0.926,-1.172,-0.34,-0.34,-2.64
0.101,0.109,0.285,1.044,0.000,1.000,44.000,-0.027,-0.284,-1.191,-0.31,-0.36,-2.77
0.101,0.102,0.233,0.857,-2.000,0.000,37.000,0.432,0.960,-1.717,-0.15,-0.42,-2.89
0.091,0.199,0.189,1.106,-2.000,-1.000,42.000,-0.099,0.296,-1.406,-0.08,-0.41,-3.00
0.101,0.263,0.022,1.058,0.000,0.000,43.000,-0.274,0.144,-1.209,-0.03,-0.37,-3.11
0.100,0.295,0.110,1.165,0.000,-1.000,45.000,0.074,0.284,-0.994,0.02,-0.36,3.09
0.100,0.377,-0.104,0.922,-3.000,-5.000,43.000,0.848,1.377,-1.283,0.19,-0.43,3.02
0.102,0.377,-0.264,0.711,-9.000,-10.000,43.000,1.345,2.388,-1.906,0.48,-0.53,2.95
0.100,0.583,-0.311,0.754,-13.000,-14.000,41.000,1.272,1.790,-0.695,0.66,-0.67,2.99
0.101,0.757,-0.471,0.461,-17.000,-24.000,34.000,1.122,1.130,-0.608,0.77,-0.80,3.02
0.100,0.716,-0.415,0.498,-20.000,-25.000,29.000,0.831,1.011,-0.310,0.86,-0.93,3.09
0.101,0.676,-0.474,0.230,-24.000,-29.000,22.000,1.184,2.380,-0.276,0.99,-1.31,-2.86
0.101,0.647,-0.366,-0.202,-28.000,-31.000,12.000,1.929,3.473,-0.369,0.98,-2.05,-2.23
0.100,0.552,-0.338,-0.631,-28.000,-32.000,-3.000,1.814,2.606,-0.377,0.83,-2.54,-1.86
0.101,0.391,-0.322,-0.599,-27.000,-26.000,-9.000,1.344,1.977,-0.500,0.66,-2.82,-1.66
0.101,0.120,-0.246,-0.965,-25.000,-18.000,-25.000,1.564,2.654,-0.574,0.40,-3.05,-1.53
0.112,0.032,-0.221,-1.024,-22.000,-13.000,-28.000,0.972,0.795,-0.669,0.31,3.08,-1.45
0.091,-0.137,-0.176,-0.730,-22.000,-9.000,-32.000,0.567,1.411,-0.405,0.18,3.02,-1.42
0.101,-0.381,-0.159,-1.037,-21.000,1.000,-33.000,0.921,2.258,-0.696,-0.04,2.94,-1.40
0.091,-0.544,-0.086,-1.125,-19.000,8.000,-31.000,0.704,1.496,-0.744,-0.17,2.89,-1.36
0.101,-0.553,0.131,-1.069,-16.000,13.000,-31.000,-0.228,0.144,-0.733,-0.19,2.94,-1.29
0.101,-0.545,0.144,-0.997,-16.000,17.000,-38.000,0.013,-0.153,-0.603,-0.17,2.96,-1.23
0.101,-0.442,0.289,-1.212,-13.000,12.000,-34.000,0.218,-0.062,-0.604,-0.16,2.96,-1.17
0.101,-0.452,0.079,-0.979,-12.000,10.000,-31.000,-0.189,-1.360,-0.125,-0.02,3.00,-1.13
0.101,-0.299,0.085,-1.011,-12.000,8.000,-39.000,0.271,-1.145,-0.027,0.11,2.98,-1.11
0.101,-0.195,0.125,-1.112,-14.000,2.000,-34.000,0.044,-1.269,0.410,0.25,3.00,-1.14
0.100,-0.068,0.026,-1.373,-13.000,-3.000,-39.000,0.023,-1.485,-0.274,0.39,2.99,-1.09
0.101,-0.008,0.099,-1.274,-11.000,-8.000,-40.000,-0.212,-2.011,-0.488,0.57,2.97,-1.00
0.101,0.223,-0.064,-1.130,-17.000,-13.000,-37.000,-0.251,-1.612,-0.434,0.70,2.95,-0.91
0.100,0.441,-0.056,-0.955,-19.000,-21.000,-32.000,-0.333,-1.390,-0.466,0.81,2.92,-0.82
0.101,0.639,0.079,-0.636,-18.000,-26.000,-35.000,-0.136,-1.368,-0.247,0.92,2.87,-0.73
0.101,0.682,-0.307,-0.446,-21.000,-30.000,-18.000,-0.972,-1.536,-0.807,1.03,2.78,-0.51
0.100,0.777,-0.167,-0.405,-23.000,-33.000,-20.000,-0.610,-1.395,-0.402,1.13,2.66,-0.31
0.101,0.866,-0.031,-0.054,-25.000,-36.000,-13.000,-0.564,-2.206,-0.417,1.28,2.27,0.18
0.101,0.793,-0.198,-0.061,-26.000,-35.000,-3.000,-0.432,-2.813,0.144,1.34,1.21,1.30
0.101,0.743,-0.318,-0.184,-26.000,-35.000,2.000,-0.427,-3.053,0.059,1.13,0.55,2.03
0.101,0.684,-0.418,0.561,-26.000,-32.000,18.000,-0.951,-2.533,-0.551,0.87,0.52,2.19
0.091,0.557,-0.329,0.555,-23.000,-26.000,26.000,-0.567,-2.207,-0.313,0.67,0.50,2.29
0.101,0.485,-0.252,0.979,-22.000,-19.000,31.000,-0.515,-1.384,-0.791,0.49,0.55,2.29
0.099,0.410,-0.266,0.875,-21.000,-17.000,35.000,-0.328,-0.805,-0.516,0.38,0.57,2.29
0.101,0.292,-0.216,1.044,-20.000,-10.000,33.000,-0.423,-1.276,-0.422,0.23,0.59,2.34
0.101,0.236,-0.103,0.911,-17.000,-7.000,36.000,-0.399,-1.135,-0.141,0.12,0.61,2.40
0.101,0.185,-0.008,0.949,-13.000,-1.000,35.000,-0.331,-0.773,-0.223,0.04,0.62,2.43
0.101,0.080,-0.114,1.057,-13.000,3.000,33.000,-0.289,-0.600,-0.861,-0.06,0.64,2.40
0.111,-0.025,-0.120,0.916,-9.000,4.000,32.000,0.144,-0.313,-0.827,-0.15,0.60,2.35
0.090,-0.026,-0.075,1.004,-12.000,6.000,34.000,0.287,0.117,-0.770,-0.17,0.55,2.28
0.101,-0.086,-0.206,1.301,-13.000,8.000,28.000,0.391,0.091,-1.038,-0.21,0.48,2.19
0.101,-0.025,-0.120,1.194,-14.000,8.000,30.000,0.500,0.221,-0.758,-0.22,0.39,2.11
0.101,-0.104,-0.448,1.164,-15.000,8.000,33.000,0.637,0.470,-0.277,-0.17,0.31,2.08
0.100,0.077,-0.389,0.868,-19.000,3.000,32.000,0.772,1.214,0.157,-0.04,0.22,2.07
0.101,0.165,-0.378,1.215,-21.000,0.000,29.000,0.690,1.172,0.303,0.08,0.13,2.10
0.100,0.270,-0.383,0.906,-25.000,-5.000,25.000,1.119,1.812,0.467,0.25,0.02,2.14
0.100,0.439,-0.358,0.936,-30.000,-13.000,23.000,1.181,1.501,0.755,0.38,-0.12,2.23
0.101,0.606,-0.434,0.560,-31.000,-16.000,22.000,0.793,1.845,0.473,0.54,-0.23,2.31
0.100,0.690,-0.390,0.085,-32.000,-24.000,11.000,0.918,2.264,0.541,0.72,-0.39,2.45
0.101,0.801,-0.396,0.033,-31.000,-28.000,5.000,0.717,0.883,0.777,0.75,-0.55,2.59
0.090,0.772,-0.601,-0.248,-29.000,-31.000,11.000,0.744,1.491,0.930,0.81,-0.76,2.79
0.100,0.871,-0.414,-0.263,-29.000,-33.000,2.000,0.539,1.303,0.917,0.81,-0.98,3.01
0.101,0.871,-0.364,-0.258,-28.000,-34.000,-8.000,0.538,1.399,0.825,0.80,-1.20,-3.03
0.100,0.803,-0.270,-0.356,-25.000,-36.000,-13.000,0.597,1.566,0.861,0.75,-1.44,-2.78
0.100,0.757,-0.014,-0.503,-20.000,-35.000,-18.000,0.779,1.943,1.181,0.62,-1.69,-2.52
0.101,0.677,0.065,-0.824,-15.000,-32.000,-25.000,0.820,1.048,0.256,0.56,-1.86,-2.40
0.101,0.576,0.164,-0.655,-14.000,-31.000,-29.000,0.522,1.385,0.620,0.43,-1.99,-2.26
0.100,0.466,0.149,-0.658,-13.000,-24.000,-31.000,0.542,1.534,0.577,0.30,-2.10,-2.14
0.100,0.305,0.137,-0.808,-9.000,-20.000,-41.000,0.513,1.450,0.150,0.19,-2.19,-2.01
0.101,0.204,0.138,-1.055,-6.000,-13.000,-39.000,0.663,1.001,-0.187,0.14,-2.29,-1.91
0.100,0.139,0.218,-1.191,-3.000,-13.000,-41.000,0.517,-0.192,0.028,0.14,-2.36,-1.92
0.100,0.225,0.242,-1.152,-6.000,-20.000,-43.000,-1.407,-2.544,-0.071,0.30,-2.19,-2.11
0.101,0.480,0.270,-1.122,-8.000,-26.000,-35.000,0.020,-2.820,0.391,0.41,-2.11,-2.37
0.111,0.600,0.163,-0.943,-9.000,-35.000,-27.000,0.594,-1.650,0.236,0.47,-2.11,-2.55
0.091,0.690,-0.108,-0.557,-9.000,-40.000,-18.000,-0.319,-1.588,-0.605,0.58,-2.03,-2.66
0.101,0.793,-0.099,-0.444,-10.000,-47.000,-16.000,-0.084,-0.966,-0.508,0.65,-1.99,-2.74
0.090,0.864,0.115,-0.453,-9.000,-47.000,-5.000,-0.173,-0.937,-0.446,0.71,-1.93,-2.81
0.100,0.903,0.082,-0.274,-10.000,-48.000,0.000,-0.446,-1.319,-0.470,0.78,-1.78,-2.96
0.111,0.913,-0.100,-0.004,-13.000,-46.000,4.000,-0.422,-1.873,-0.699,0.87,-1.51,3.02
0.090,0.855,0.078,0.322,-12.000,-42.000,14.000,-0.646,-2.315,-0.919,0.90,-1.18,2.67
0.101,0.804,0.231,0.452,-14.000,-36.000,17.000,-0.445,-2.376,-0.878,0.83,-0.83,2.27
0.100,0.658,0.228,0.808,-14.000,-29.000,30.000,-0.584,-2.380,-0.631,0.67,-0.57,1.99
0.101,0.549,0.088,0.868,-12.000,-21.000,31.000,-0.223,-1.682,-0.549,0.54,-0.45,1.82
0.100,0.416,0.119,1.039,-10.000,-13.000,37.000,-0.460,-1.769,-0.477,0.38,-0.35,1.69
0.101,0.307,-0.037,0.934,-13.000,-9.000,40.000,-0.257,-1.335,-0.506,0.25,-0.28,1.60
0.101,0.145,-0.030,1.068,-9.000,0.000,43.000,-0.313,-1.580,-0.457,0.09,-0.22,1.51
0.101,-0.057,-0.129,1.097,-9.000,6.000,43.000,-0.319,-1.775,-0.427,-0.08,-0.17,1.43
0.101,-0.226,-0.110,1.033,-6.000,12.000,39.000,-0.539,-1.938,-0.484,-0.24,-0.12,1.35
0.101,-0.304,-0.251,0.841,-3.000,17.000,35.000,-0.462,-0.878,-0.279,-0.31,-0.09,1.32
0.101,-0.384,-0.060,0.910,-3.000,20.000,29.000,-0.149,-1.026,0.311,-0.40,-0.07,1.34
0.100,-0.693,0.174,1.248,-6.000,25.000,18.000,-0.359,-3.717,0.984,-0.76,0.02,1.44
0.100,-0.748,-0.073,0.874,-12.000,25.000,14.000,-0.509,-1.372,0.457,-0.88,0.13,1.53
0.101,-0.892,-0.511,0.963,-16.000,26.000,11.000,-0.787,-1.006,-0.065,-0.97,0.23,1.55
0.091,-0.798,-0.140,0.652,-19.000,24.000,12.000,-0.275,-0.585,0.864,-0.99,0.40,1.72
0.101,-0.859,-0.151,0.567,-26.000,20.000,15.000,-0.357,-0.642,0.836,-0.99,0.60,1.92
0.101,-0.823,-0.229,0.603,-31.000,14.000,13.000,-0.468,-0.203,1.402,-0.91,0.82,2.14
0.100,-0.810,0.124,0.494,-34.000,10.000,22.000,0.310,0.301,1.995,-0.72,0.90,2.30
0.100,-0.680,-0.234,0.255,-38.000,8.000,15.000,-0.270,0.463,1.454,-0.56,0.97,2.37
0.111,-0.683,-0.042,0.287,-35.000,0.000,21.000,-0.108,0.094,1.912,-0.36,1.03,2.49
0.090,-0.626,-0.488,0.714,-34.000,-5.000,17.000,-0.682,0.166,1.887,-0.19,1.11,2.57
0.100,-0.483,-0.767,0.617,-32.000,-11.000,26.000,-0.252,-0.473,1.819,-0.03,1.14,2.70
0.101,-0.400,-0.829,0.749,-27.000,-17.000,25.000,-0.379,-0.308,1.985,0.15,1.15,2.81
0.101,-0.238,-0.899,0.852,-25.000,-22.000,30.000,-0.729,0.076,1.865,0.32,1.19,2.89
0.111,-0.107,-0.830,0.758,-16.000,-29.000,23.000,-1.683,0.779,1.963,0.55,1.37,2.87
0.091,-0.014,-0.567,1.161,-8.000,-29.000,19.000,-1.705,0.888,2.113,0.74,1.56,2.80
0.100,0.273,-0.464,0.993,-5.000,-32.000,27.000,-3.202,0.891,2.232,0.94,2.02,2.61
0.100,0.335,0.317,0.918,16.000,-41.000,30.000,-3.270,1.601,1.974,0.96,2.70,2.18
0.101,0.440,0.688,0.978,32.000,-42.000,16.000,-1.898,1.415,1.543,0.86,3.14,1.88
0.100,0.491,0.443,0.408,36.000,-43.000,3.000,-1.522,2.069,0.476,0.65,-2.96,1.83
0.100,0.575,0.822,0.645,38.000,-36.000,-8.000,-1.171,1.498,0.757,0.49,-2.81,1.79
0.090,0.572,0.784,0.245,39.000,-32.000,-19.000,-0.523,1.129,0.803,0.36,-2.74,1.75
0.111,0.463,0.983,0.048,35.000,-30.000,-18.000,-0.757,0.937,0.297,0.25,-2.66,1.76
0.100,0.452,0.722,0.040,33.000,-29.000,-24.000,-0.795,0.975,-1.377,0.23,-2.61,1.93
0.091,0.572,0.355,-0.294,26.000,-32.000,-27.000,-1.104,1.601,-2.288,0.20,-2.56,2.19
0.101,0.724,0.312,-0.102,15.000,-31.000,-33.000,-0.274,1.862,-2.695,0.18,-2.60,2.52
0.101,0.804,0.122,-0.207,13.000,-24.000,-35.000,-0.093,1.743,-1.618,0.10,-2.62,2.76
0.100,0.758,0.039,-0.330,9.000,-22.000,-41.000,-0.091,1.166,-0.999,0.04,-2.63,2.91
